[ 16:46:04,166 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00100508.map"
[ 16:46:04,172 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00200006.map"
[ 16:46:04,179 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00200007.map"
[ 16:46:04,184 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00200008.map"
[ 16:46:04,190 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00200308.map"
[ 16:46:04,198 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00200508.map"
[ 16:46:04,204 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00300307.map"
[ 16:46:04,212 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00300308.map"
[ 16:46:04,219 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00300407.map"
[ 16:46:04,228 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400207.map"
[ 16:46:04,233 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400208.map"
[ 16:46:04,239 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400307.map"
[ 16:46:04,245 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400308.map"
[ 16:46:04,251 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400313.map"
[ 16:46:04,257 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400407.map"
[ 16:46:04,266 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00400413.map"
[ 16:46:04,273 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00500008.map"
[ 16:46:04,278 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00500107.map"
[ 16:46:04,282 ] Importing automap from "C:/Users/User/AppData/Roaming/Tibia/Automap/00500108.map"
